ID,Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,"Are you currently a student? (high school, university, or graduate)","Have you ever published any academic research (papers, preprints, conference proceedings, etc)?",For how many years have you been writing code and/or programming?,For how many years have you used machine learning methods?,Which of the following ML model hubs/repositories do you use most often? - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,In what industry is your current employer/contract (or your most recent employer if retired)? - Selected Choice,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,"Approximately how much money have you spent on machine learning and/or cloud computing services at home or at work in the past 5 years (approximate $USD)?
 (approximate $USD)?","Of the cloud platforms that you are familiar with, which has the best developer experience (most enjoyable to use)? - Selected Choice",Approximately how many times have you used a TPU (tensor processing unit)?
6595,704,60-69,Man,Germany,No,Yes,5-10 years,2-3 years, Kaggle datasets ,Teacher / professor,Academics/Education,"1000-9,999 employees",10-14,We are exploring ML methods (and may one day put a model into production),"7,500-9,999","$1000-$9,999", Amazon Web Services (AWS) ,Never
6596,210,40-44,Woman,India,No,Yes,I have never written code,,,Research Scientist,Government/Public Service,250-999 employees,0,,,,,
6597,262,18-21,Man,India,Yes,,I have never written code,,,,,,,,,,,
6598,198,35-39,Woman,United States of America,No,No,I have never written code,,,Other,Medical/Pharmaceutical,"10,000 or more employees",20+,I do not know,"40,000-49,999",$0 ($USD),,
6599,718,40-44,Woman,India,No,Yes,10-20 years,1-2 years,  TensorFlow Hub ,Machine Learning/ MLops Engineer,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","1,000-1,999","$1000-$9,999", Google Cloud Platform (GCP) ,More than 25 times
6600,915,35-39,Woman,India,No,Yes,10-20 years,4-5 years, Kaggle datasets ,Teacher / professor,Academics/Education,"1000-9,999 employees",10-14,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999, Amazon Web Services (AWS) ,2-5 times
6601,373,22-24,Man,India,No,,1-3 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees",3-4,I do not know,"4,000-4,999",$0 ($USD),,
6602,241,30-34,Nonbinary,United States of America,Yes,Yes,5-10 years,1-2 years,,,,,,,,,,
6603,166,55-59,Man,Japan,No,,,,,,,,,,,,,
6604,256,50-54,Man,Morocco,Yes,No,3-5 years,,,,,,,,,,,
6605,373,22-24,Man,China,Yes,,1-3 years,1-2 years,,,,,,,,,,
6606,264,25-29,Man,Australia,No,,< 1 years,Under 1 year,,,,,,,,,,
6607,3993,35-39,Man,Pakistan,No,Yes,1-3 years,I do not use machine learning methods,,Teacher / professor,Academics/Education,"1000-9,999 employees",3-4,No (we do not use ML methods),"5,000-7,499",$1-$99,,
6608,336,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6609,432,30-34,Man,India,No,No,1-3 years,Under 1 year,,Data Scientist,Government/Public Service,"1000-9,999 employees",1-2,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",$100-$999,,Once
6610,6763,40-44,Man,Colombia,No,,10-20 years,I do not use machine learning methods,,Other,Online Service/Internet-based Services,50-249 employees,10-14,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",$100-$999,,
6611,767,35-39,Man,Other,No,Yes,1-3 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,250-999 employees,3-4,I do not know,"20,000-24,999",$1-$99,,Never
6612,373,18-21,Man,Pakistan,Yes,,1-3 years,Under 1 year, Kaggle datasets ,,,,,,,,,
6613,4424,25-29,Man,India,No,,< 1 years,,,,,,,,,,,
6614,5385,18-21,Man,India,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
6615,458,60-69,Man,United States of America,No,Yes,20+ years,5-10 years,,Currently not employed,,,,,,,,
6616,654,35-39,Woman,Taiwan,No,Yes,10-20 years,5-10 years,,Data Scientist,Medical/Pharmaceutical,0-49 employees,3-4,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$100-$999,,2-5 times
6617,213,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6618,931,35-39,Man,Colombia,No,No,5-10 years,2-3 years,,Engineer (non-software),Non-profit/Service,"1000-9,999 employees",1-2,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$100-$999,,Once
6619,385,25-29,Man,India,No,,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"1000-9,999 employees",15-19,I do not know,"10,000-14,999",$1-$99,,
6620,1133,30-34,Man,India,No,Yes,3-5 years,1-2 years, Kaggle datasets ,Data Scientist,Computers/Technology,0-49 employees,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",$100-$999, Microsoft Azure ,Never
6621,352,18-21,Man,Colombia,Yes,,1-3 years,1-2 years,,,,,,,,,,
6622,384,40-44,Man,Nigeria,No,No,I have never written code,,,Engineer (non-software),Energy/Mining,50-249 employees,10-14,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$100-$999,,
6623,13861,25-29,Man,Bangladesh,Yes,,,,,,,,,,,,,
6624,372,18-21,Man,Tunisia,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
6625,215,25-29,Man,Other,Yes,,< 1 years,2-3 years,,,,,,,,,,
6626,276,30-34,Man,Other,Yes,No,I have never written code,,,,,,,,,,,
6627,366,25-29,Man,India,No,,1-3 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,0-49 employees,3-4,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,,Never
6628,381,35-39,Man,United States of America,Yes,Yes,1-3 years,2-3 years,,,,,,,,,,
6629,605,25-29,Man,Canada,No,,5-10 years,2-3 years,,Data Scientist,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",$0 ($USD),,
6630,258,18-21,Man,Argentina,Yes,No,1-3 years,I do not use machine learning methods,,,,,,,,,,
6631,2491530,55-59,Man,Other,No,,20+ years,Under 1 year,,Software Engineer,Energy/Mining,"10,000 or more employees",0,I do not know,"10,000-14,999",$0 ($USD),,
6632,394,22-24,Man,Other,Yes,,1-3 years,2-3 years,,,,,,,,,,
6633,208,22-24,Man,United States of America,Yes,No,1-3 years,1-2 years,,,,,,,,,,
6634,584,25-29,Woman,India,No,No,I have never written code,,,Teacher / professor,Academics/Education,0-49 employees,0,No (we do not use ML methods),"1,000-1,999",$0 ($USD),,
6635,200,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6636,215,25-29,Man,India,Yes,No,< 1 years,Under 1 year, PyTorch Hub ,,,,,,,,,
6637,226,22-24,Man,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
6638,295,18-21,Woman,Mexico,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
6639,598,25-29,Man,India,No,,3-5 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","$1000-$9,999",,Never
6640,361,30-34,Man,Mexico,Yes,No,< 1 years,Under 1 year,  TensorFlow Hub ,,,,,,,,,
6641,885,35-39,Man,Russia,No,No,< 1 years,Under 1 year,,Engineer (non-software),Manufacturing/Fabrication,"10,000 or more employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",$0 ($USD),,
6642,1542,40-44,Man,Pakistan,No,No,1-3 years,2-3 years, Kaggle datasets ,Data Scientist,Medical/Pharmaceutical,50-249 employees,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","$1000-$9,999", Amazon Web Services (AWS) ,6-25 times
6643,689,25-29,Man,India,No,No,1-3 years,1-2 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,3-4,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",$1-$99,,Never
6644,725,45-49,Man,United States of America,No,No,5-10 years,4-5 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",$100-$999,,Never
6645,7097,40-44,Man,India,No,No,1-3 years,1-2 years,,Data Scientist,Other,250-999 employees,5-9,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",$100-$999,,Never
6646,448,25-29,Man,Cameroon,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
6647,295,45-49,Woman,Brazil,No,,I have never written code,,,Data Engineer,Energy/Mining,250-999 employees,20+,We use ML methods for generating insights (but do not put working models into production),$0-999,$0 ($USD),,
6648,384,25-29,Man,Nigeria,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
6649,540,25-29,Woman,Morocco,Yes,,5-10 years,3-4 years,,,,,,,,,,
6650,2249,30-34,Man,Pakistan,Yes,No,5-10 years,4-5 years,,,,,,,,,,
6651,522,30-34,Woman,United States of America,No,,3-5 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,"10,000 or more employees",1-2,I do not know,"100,000-124,999",$1-$99,,Never
6652,215,22-24,Man,India,No,No,< 1 years,I do not use machine learning methods,,Currently not employed,,,,,,,,
6653,2221,22-24,Man,India,No,No,< 1 years,Under 1 year, ONNX models ,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,50-249 employees,1-2,No (we do not use ML methods),$0-999,$0 ($USD),,
6654,259,25-29,Woman,France,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6655,309,25-29,Man,United States of America,No,No,1-3 years,I do not use machine learning methods,,Other,Marketing/CRM,50-249 employees,3-4,No (we do not use ML methods),"40,000-49,999",$0 ($USD),,
6656,8533,18-21,Woman,Other,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6657,212,22-24,Man,Bangladesh,Yes,,3-5 years,3-4 years,,,,,,,,,,
6658,247,60-69,Man,Philippines,No,,5-10 years,,,,,,,,,,,
6659,253,25-29,Man,India,Yes,Yes,3-5 years,3-4 years, Huggingface Models ,,,,,,,,,
6660,377,18-21,Man,India,Yes,,1-3 years,I do not use machine learning methods,,,,,,,,,,
6661,183,55-59,Prefer not to say,India,No,No,< 1 years,Under 1 year,,Teacher / professor,,,,,,,,
6662,517,18-21,Woman,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6663,369,40-44,Man,Pakistan,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
6664,312,22-24,Man,India,Yes,Yes,< 1 years,Under 1 year,,,,,,,,,,
6665,285,30-34,Woman,Other,Yes,,20+ years,,,,,,,,,,,
6666,387,18-21,Man,India,Yes,No,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
6667,344,35-39,Man,Argentina,No,,10-20 years,Under 1 year,,Data Engineer,Broadcasting/Communications,"10,000 or more employees",20+,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$0 ($USD),,
6668,1939,35-39,Man,Spain,No,Yes,10-20 years,5-10 years, Timm ,Machine Learning/ MLops Engineer,Retail/Sales,0-49 employees,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",$100-$999,,Never
6669,345,35-39,Man,Pakistan,No,Yes,3-5 years,Under 1 year,,,,,,,,,,
6670,169,18-21,Man,Pakistan,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6671,6480,35-39,Man,Ukraine,Yes,Yes,10-20 years,,,,,,,,,,,
6672,273,18-21,Man,India,Yes,,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
6673,1351,30-34,Man,Other,No,Yes,5-10 years,2-3 years,,Statistician,Computers/Technology,250-999 employees,20+,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99, Oracle Cloud ,2-5 times
6674,505,35-39,Man,Pakistan,No,Yes,< 1 years,Under 1 year,,Data Scientist,Other,"10,000 or more employees",1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,,2-5 times
6675,183,18-21,Woman,India,Yes,,3-5 years,Under 1 year,,,,,,,,,,
6676,247,22-24,Man,Russia,Yes,No,1-3 years,Under 1 year,,,,,,,,,,
6677,133,40-44,Woman,United States of America,Yes,No,3-5 years,,,,,,,,,,,
6678,1296,35-39,Man,India,No,Yes,10-20 years,2-3 years,,Data Scientist,Computers/Technology,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"10,000-14,999","$1000-$9,999", Amazon Web Services (AWS) ,Never
6679,17184,35-39,Man,United States of America,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
6680,903,40-44,Man,Kenya,No,No,< 1 years,Under 1 year,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,250-999 employees,3-4,I do not know,"30,000-39,999","$1000-$9,999",,Never
6681,589,40-44,Woman,Japan,No,No,< 1 years,Under 1 year,,"Manager (Program, Project, Operations, Executive-level, etc)",Insurance/Risk Assessment,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999","$1000-$9,999",,Never
6682,450,40-44,Man,Thailand,No,,< 1 years,I do not use machine learning methods,,"Manager (Program, Project, Operations, Executive-level, etc)",Manufacturing/Fabrication,"1000-9,999 employees",0,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,$100-$999,,
6683,203,18-21,Man,India,Yes,,< 1 years,I do not use machine learning methods,,,,,,,,,,
6684,904,50-54,Man,Peru,No,No,10-20 years,1-2 years,  TensorFlow Hub ,Teacher / professor,Academics/Education,0-49 employees,1-2,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$1-$99,,Never
6685,132,25-29,Woman,United States of America,Yes,No,5-10 years,I do not use machine learning methods,,,,,,,,,,
6686,595,30-34,Man,India,No,,< 1 years,I do not use machine learning methods,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"10,000 or more employees",1-2,No (we do not use ML methods),"1,000-1,999",$0 ($USD),,
6687,493,30-34,Prefer not to say,I do not wish to disclose my location,No,Yes,5-10 years,3-4 years, Kaggle datasets ,Machine Learning/ MLops Engineer,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","2,000-2,999",$100-$999, Microsoft Azure ,2-5 times
6688,363,25-29,Man,Kenya,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6689,225,30-34,Man,India,Yes,,1-3 years,,,,,,,,,,,
6690,264,18-21,Man,Japan,Yes,,1-3 years,1-2 years,,,,,,,,,,
6691,572,35-39,Man,India,Yes,,10-20 years,Under 1 year,,,,,,,,,,
6692,624,30-34,Woman,India,No,Yes,5-10 years,I do not use machine learning methods,,Teacher / professor,Academics/Education,50-249 employees,10-14,No (we do not use ML methods),$0-999,$0 ($USD),,
6693,1119,50-54,Man,India,No,Yes,1-3 years,Under 1 year,,Teacher / professor,Academics/Education,250-999 employees,1-2,No (we do not use ML methods),"5,000-7,499",$1-$99,,Once
6694,213,22-24,Man,Other,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6695,684,30-34,Man,United States of America,No,,10-20 years,10-20 years,,Data Scientist,Accounting/Finance,0-49 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","$500,000-999,999","$1000-$9,999",,Never
6696,412,60-69,Man,United States of America,No,Yes,20+ years,4-5 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,3-4,We are exploring ML methods (and may one day put a model into production),,,,
6697,202,35-39,Man,Morocco,Yes,No,1-3 years,,,,,,,,,,,
6698,310,18-21,Man,India,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6699,880,60-69,Man,Taiwan,No,,< 1 years,Under 1 year,,Teacher / professor,Academics/Education,50-249 employees,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,$1-$99,,Never
6700,2826,35-39,Woman,United States of America,No,No,3-5 years,3-4 years,,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,"1000-9,999 employees",3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$100,000 or more ($USD)",,2-5 times
6701,348,18-21,Man,India,Yes,,< 1 years,Under 1 year, Kaggle datasets ,,,,,,,,,
6702,441,25-29,Man,India,Yes,No,< 1 years,Under 1 year,,,,,,,,,,
6703,266,22-24,Woman,United States of America,Yes,No,1-3 years,1-2 years,,,,,,,,,,
6704,31577,25-29,Man,Sri Lanka,Yes,,,,,,,,,,,,,
6705,844,45-49,Man,Brazil,Yes,Yes,10-20 years,1-2 years,,,,,,,,,,
6706,881,35-39,Man,China,No,Yes,3-5 years,5-10 years,,Research Scientist,Online Service/Internet-based Services,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999",$0 ($USD),,
6707,203,25-29,Man,India,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6708,311,25-29,Man,India,No,,I have never written code,,,Other,Computers/Technology,"10,000 or more employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","$1000-$9,999",,
6709,584,18-21,Man,Other,Yes,,< 1 years,4-5 years,,,,,,,,,,
6710,565,40-44,Man,Thailand,No,No,1-3 years,2-3 years,,Data Engineer,Manufacturing/Fabrication,0-49 employees,0,No (we do not use ML methods),"30,000-39,999",$0 ($USD),,
6711,1439,50-54,Man,Poland,No,No,20+ years,1-2 years,,Machine Learning/ MLops Engineer,Broadcasting/Communications,250-999 employees,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$1000-$9,999",,Never
6712,272,45-49,Man,Colombia,Yes,No,20+ years,Under 1 year,,,,,,,,,,
6713,218,30-34,Woman,Nigeria,Yes,No,< 1 years,I do not use machine learning methods,,,,,,,,,,
6714,283,35-39,Man,Chile,Yes,,< 1 years,Under 1 year,,,,,,,,,,
6715,426,22-24,Nonbinary,United States of America,No,No,10-20 years,Under 1 year, Kaggle datasets ,Currently not employed,,,,,,,,
6716,443,45-49,Man,India,No,No,I have never written code,,,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"1000-9,999 employees",1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$0 ($USD),,
6717,755,18-21,Woman,India,No,No,1-3 years,1-2 years,,Data Scientist,Computers/Technology,0-49 employees,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",$100-$999,They all had a similarly enjoyable developer experience,2-5 times
6718,196,18-21,Man,China,Yes,No,1-3 years,Under 1 year,Other storage services (i.e. google drive),,,,,,,,,
6719,475,60-69,Prefer not to say,United States of America,No,Yes,20+ years,3-4 years, PyTorch Hub ,Software Engineer,Academics/Education,"10,000 or more employees",20+,I do not know,"100,000-124,999","$1000-$9,999", Google Cloud Platform (GCP) ,More than 25 times
6720,376,18-21,Man,Nepal,Yes,,1-3 years,Under 1 year,,,,,,,,,,
6721,367,30-34,Man,South Korea,Yes,,< 1 years,1-2 years,,,,,,,,,,
6722,309,25-29,Woman,Indonesia,Yes,Yes,1-3 years,Under 1 year,,,,,,,,,,
6723,182,18-21,Woman,India,Yes,,1-3 years,1-2 years,,,,,,,,,,
